Date,Day,Holiday
1/1/2024,Monday,New Year's Day
1/15/2024,Monday,Pongal
1/16/2024,Tuesday,Thiruvalluvar Day
1/17/2024,Wednesday,Uzhavar Thirunal
1/25/2024,Thursday,Thai Poosam
1/26/2024,Friday,Republic Day
3/29/2024,Friday,Good Friday
4/1/2024,Monday,Annual Closing of Accounts for Banks
4/9/2024,Tuesday,Telugu New Year Day
4/11/2024,Thursday,Ramzan (Idul Fitr)
4/14/2024,Sunday,Tamil New Yearâ€™s Day and Dr. B.R. Ambedkar's Birthday
4/21/2024,Sunday,Mahaveer Jayanthi
5/1/2024,Wednesday,May Day
6/17/2024,Monday,Bakrid (Idul Azha)
7/17/2024,Wednesday,Muharram
8/15/2024,Thursday,Independence Day
8/26/2024,Monday,Krishna Jayanthi
9/7/2024,Saturday,Vinayakar Chathurthi
9/16/2024,Monday,Milad-un-Nabi
10/2/2024,Wednesday,Gandhi Jayanthi
10/11/2024,Friday,Ayutha Pooja
10/12/2024,Saturday,Vijaya Dasami
10/31/2024,Thursday,Deepavali
12/25/2024,Wednesday,Christmas
